,Time,Name,FIPS county code,State.Name
303,2000-01-01,Bucks County,42017,Pennsylvania
304,2000-01-01,Buena Vista County,19021,Iowa
305,2000-01-01,Buena Vista city,51530,Virginia
306,2000-01-01,Buffalo County,31019,Nebraska
307,2000-01-01,Buffalo County,55011,Wisconsin
308,2000-01-01,Buffalo County,46017,South Dakota
309,2000-01-01,Bullitt County,21029,Kentucky
310,2000-01-01,Bulloch County,13031,Georgia
311,2000-01-01,Bullock County,1011,Alabama
312,2000-01-01,Buncombe County,37021,North Carolina
313,2000-01-01,Bureau County,17011,Illinois
314,2000-01-01,Burke County,38013,North Dakota
315,2000-01-01,Burke County,37023,North Carolina
316,2000-01-01,Burke County,13033,Georgia
317,2000-01-01,Burleigh County,38015,North Dakota
318,2000-01-01,Burleson County,48051,Texas
319,2000-01-01,Burlington County,34005,New Jersey
320,2000-01-01,Burnet County,48053,Texas
321,2000-01-01,Burnett County,55013,Wisconsin
322,2000-01-01,Burt County,31021,Nebraska
323,2000-01-01,Butler County,39017,Ohio
324,2000-01-01,Butler County,42019,Pennsylvania
325,2000-01-01,Butler County,31023,Nebraska
326,2000-01-01,Butler County,1013,Alabama
327,2000-01-01,Butler County,29023,Missouri
328,2000-01-01,Butler County,20015,Kansas
329,2000-01-01,Butler County,19023,Iowa
330,2000-01-01,Butler County,21031,Kentucky
331,2000-01-01,Butte County,46019,South Dakota
332,2000-01-01,Butte County,16023,Idaho
333,2000-01-01,Butte County,6007,California
334,2000-01-01,Butts County,13035,Georgia
335,2000-01-01,Cabarrus County,37025,North Carolina
336,2000-01-01,Cabell County,54011,West Virginia
337,2000-01-01,Cache County,49005,Utah
338,2000-01-01,Caddo County,40015,Oklahoma
339,2000-01-01,Caddo Parish,22017,Louisiana
340,2000-01-01,Calaveras County,6009,California
341,2000-01-01,Calcasieu Parish,22019,Louisiana
342,2000-01-01,Caldwell County,37027,North Carolina
343,2000-01-01,Caldwell County,48055,Texas
344,2000-01-01,Caldwell County,29025,Missouri
345,2000-01-01,Caldwell County,21033,Kentucky
346,2000-01-01,Caldwell Parish,22021,Louisiana
347,2000-01-01,Caledonia County,50005,Vermont
348,2000-01-01,Calhoun County,45017,South Carolina
349,2000-01-01,Calhoun County,54013,West Virginia
350,2000-01-01,Calhoun County,48057,Texas
351,2000-01-01,Calhoun County,13037,Georgia
352,2000-01-01,Calhoun County,17013,Illinois
353,2000-01-01,Calhoun County,5013,Arkansas
354,2000-01-01,Calhoun County,1015,Alabama
355,2000-01-01,Calhoun County,12013,Florida
356,2000-01-01,Calhoun County,26025,Michigan
357,2000-01-01,Calhoun County,28013,Mississippi
358,2000-01-01,Calhoun County,19025,Iowa
359,2000-01-01,Callahan County,48059,Texas
360,2000-01-01,Callaway County,29027,Missouri
361,2000-01-01,Calloway County,21035,Kentucky
362,2000-01-01,Calumet County,55015,Wisconsin
363,2000-01-01,Calvert County,24009,Maryland
364,2000-01-01,Camas County,16025,Idaho
365,2000-01-01,Cambria County,42021,Pennsylvania
366,2000-01-01,Camden County,37029,North Carolina
367,2000-01-01,Camden County,34007,New Jersey
368,2000-01-01,Camden County,13039,Georgia
369,2000-01-01,Camden County,29029,Missouri
370,2000-01-01,Cameron County,42023,Pennsylvania
371,2000-01-01,Cameron County,48061,Texas
372,2000-01-01,Cameron Parish,22023,Louisiana
373,2000-01-01,Camp County,48063,Texas
374,2000-01-01,Campbell County,51031,Virginia
375,2000-01-01,Campbell County,56005,Wyoming
376,2000-01-01,Campbell County,46021,South Dakota
377,2000-01-01,Campbell County,47013,Tennessee
378,2000-01-01,Campbell County,21037,Kentucky
379,2000-01-01,Canadian County,40017,Oklahoma
380,2000-01-01,Candler County,13043,Georgia
381,2000-01-01,Cannon County,47015,Tennessee
382,2000-01-01,Canyon County,16027,Idaho
383,2000-01-01,Cape Girardeau County,29031,Missouri
384,2000-01-01,Cape May County,34009,New Jersey
385,2000-01-01,Carbon County,42025,Pennsylvania
386,2000-01-01,Carbon County,30009,Montana
387,2000-01-01,Carbon County,49007,Utah
388,2000-01-01,Carbon County,56007,Wyoming
389,2000-01-01,Caribou County,16029,Idaho
390,2000-01-01,Carlisle County,21039,Kentucky
391,2000-01-01,Carlton County,27017,Minnesota
392,2000-01-01,Caroline County,51033,Virginia
393,2000-01-01,Caroline County,24011,Maryland
394,2000-01-01,Carroll County,39019,Ohio
395,2000-01-01,Carroll County,33003,New Hampshire
396,2000-01-01,Carroll County,51035,Virginia
397,2000-01-01,Carroll County,47017,Tennessee
398,2000-01-01,Carroll County,13045,Georgia
399,2000-01-01,Carroll County,18015,Indiana
400,2000-01-01,Carroll County,17015,Illinois
401,2000-01-01,Carroll County,5015,Arkansas
402,2000-01-01,Carroll County,24013,Maryland
403,2000-01-01,Carroll County,29033,Missouri
404,2000-01-01,Carroll County,28015,Mississippi
405,2000-01-01,Carroll County,19027,Iowa
406,2000-01-01,Carroll County,21041,Kentucky
407,2000-01-01,Carson City,32510,Nevada
408,2000-01-01,Carson County,48065,Texas
409,2000-01-01,Carter County,40019,Oklahoma
410,2000-01-01,Carter County,30011,Montana
411,2000-01-01,Carter County,47019,Tennessee
412,2000-01-01,Carter County,29035,Missouri
413,2000-01-01,Carter County,21043,Kentucky
414,2000-01-01,Carteret County,37031,North Carolina
415,2000-01-01,Carver County,27019,Minnesota
416,2000-01-01,Cascade County,30013,Montana
417,2000-01-01,Casey County,21045,Kentucky
418,2000-01-01,Cass County,38017,North Dakota
419,2000-01-01,Cass County,31025,Nebraska
420,2000-01-01,Cass County,48067,Texas
421,2000-01-01,Cass County,18017,Indiana
422,2000-01-01,Cass County,17017,Illinois
423,2000-01-01,Cass County,27021,Minnesota
424,2000-01-01,Cass County,26027,Michigan
425,2000-01-01,Cass County,29037,Missouri
426,2000-01-01,Cass County,19029,Iowa
427,2000-01-01,Cassia County,16031,Idaho
428,2000-01-01,Castro County,48069,Texas
429,2000-01-01,Caswell County,37033,North Carolina
430,2000-01-01,Catahoula Parish,22025,Louisiana
431,2000-01-01,Catawba County,37035,North Carolina
432,2000-01-01,Catoosa County,13047,Georgia
433,2000-01-01,Catron County,35003,New Mexico
434,2000-01-01,Cattaraugus County,36009,New York
435,2000-01-01,Cavalier County,38019,North Dakota
436,2000-01-01,Cayuga County,36011,New York
437,2000-01-01,Cecil County,24015,Maryland
438,2000-01-01,Cedar County,31027,Nebraska
439,2000-01-01,Cedar County,29039,Missouri
440,2000-01-01,Cedar County,19031,Iowa
441,2000-01-01,Centre County,42027,Pennsylvania
442,2000-01-01,Cerro Gordo County,19033,Iowa
443,2000-01-01,Chaffee County,8015,Colorado
444,2000-01-01,Chambers County,48071,Texas
445,2000-01-01,Chambers County,1017,Alabama
446,2000-01-01,Champaign County,39021,Ohio
447,2000-01-01,Champaign County,17019,Illinois
448,2000-01-01,Chariton County,29041,Missouri
449,2000-01-01,Charles City County,51036,Virginia
450,2000-01-01,Charles County,24017,Maryland
451,2000-01-01,Charles Mix County,46023,South Dakota
452,2000-01-01,Charleston County,45019,South Carolina
453,2000-01-01,Charlevoix County,26029,Michigan
454,2000-01-01,Charlotte County,51037,Virginia
455,2000-01-01,Charlotte County,12015,Florida
456,2000-01-01,Charlottesville city,51540,Virginia
457,2000-01-01,Charlton County,13049,Georgia
458,2000-01-01,Chase County,31029,Nebraska
459,2000-01-01,Chase County,20017,Kansas
460,2000-01-01,Chatham County,37037,North Carolina
461,2000-01-01,Chatham County,13051,Georgia
462,2000-01-01,Chattahoochee County,13053,Georgia
463,2000-01-01,Chattooga County,13055,Georgia
464,2000-01-01,Chautauqua County,36013,New York
465,2000-01-01,Chautauqua County,20019,Kansas
466,2000-01-01,Chaves County,35005,New Mexico
467,2000-01-01,Cheatham County,47021,Tennessee
468,2000-01-01,Cheboygan County,26031,Michigan
469,2000-01-01,Chelan County,53007,Washington
470,2000-01-01,Chemung County,36015,New York
471,2000-01-01,Chenango County,36017,New York
472,2000-01-01,Cherokee County,40021,Oklahoma
473,2000-01-01,Cherokee County,45021,South Carolina
474,2000-01-01,Cherokee County,37039,North Carolina
475,2000-01-01,Cherokee County,48073,Texas
476,2000-01-01,Cherokee County,13057,Georgia
477,2000-01-01,Cherokee County,1019,Alabama
478,2000-01-01,Cherokee County,20021,Kansas
479,2000-01-01,Cherokee County,19035,Iowa
480,2000-01-01,Cherry County,31031,Nebraska
481,2000-01-01,Chesapeake city,51550,Virginia
482,2000-01-01,Cheshire County,33005,New Hampshire
483,2000-01-01,Chester County,45023,South Carolina
484,2000-01-01,Chester County,42029,Pennsylvania
485,2000-01-01,Chester County,47023,Tennessee
486,2000-01-01,Chesterfield County,45025,South Carolina
487,2000-01-01,Chesterfield County,51041,Virginia
488,2000-01-01,Cheyenne County,31033,Nebraska
489,2000-01-01,Cheyenne County,8017,Colorado
490,2000-01-01,Cheyenne County,20023,Kansas
491,2000-01-01,Chickasaw County,28017,Mississippi
492,2000-01-01,Chickasaw County,19037,Iowa
493,2000-01-01,Chicot County,5017,Arkansas
494,2000-01-01,Childress County,48075,Texas
495,2000-01-01,Chilton County,1021,Alabama
496,2000-01-01,Chippewa County,55017,Wisconsin
497,2000-01-01,Chippewa County,27023,Minnesota
498,2000-01-01,Chippewa County,26033,Michigan
499,2000-01-01,Chisago County,27025,Minnesota
500,2000-01-01,Chittenden County,50007,Vermont
501,2000-01-01,Choctaw County,40023,Oklahoma
502,2000-01-01,Choctaw County,1023,Alabama
503,2000-01-01,Choctaw County,28019,Mississippi
504,2000-01-01,Chouteau County,30015,Montana
505,2000-01-01,Chowan County,37041,North Carolina
506,2000-01-01,Christian County,17021,Illinois
507,2000-01-01,Christian County,29043,Missouri
508,2000-01-01,Christian County,21047,Kentucky
509,2000-01-01,Churchill County,32001,Nevada
510,2000-01-01,Cibola County,35006,New Mexico
511,2000-01-01,Cimarron County,40025,Oklahoma
512,2000-01-01,Citrus County,12017,Florida
513,2000-01-01,Clackamas County,41005,Oregon
514,2000-01-01,Claiborne County,47025,Tennessee
515,2000-01-01,Claiborne County,28021,Mississippi
516,2000-01-01,Claiborne Parish,22027,Louisiana
517,2000-01-01,Clallam County,53009,Washington
518,2000-01-01,Clare County,26035,Michigan
519,2000-01-01,Clarendon County,45027,South Carolina
520,2000-01-01,Clarion County,42031,Pennsylvania
521,2000-01-01,Clark County,39023,Ohio
522,2000-01-01,Clark County,32003,Nevada
523,2000-01-01,Clark County,55019,Wisconsin
524,2000-01-01,Clark County,53011,Washington
525,2000-01-01,Clark County,46025,South Dakota
526,2000-01-01,Clark County,16033,Idaho
527,2000-01-01,Clark County,18019,Indiana
528,2000-01-01,Clark County,17023,Illinois
529,2000-01-01,Clark County,5019,Arkansas
530,2000-01-01,Clark County,29045,Missouri
531,2000-01-01,Clark County,20025,Kansas
532,2000-01-01,Clark County,21049,Kentucky
533,2000-01-01,Clarke County,51043,Virginia
534,2000-01-01,Clarke County,13059,Georgia
535,2000-01-01,Clarke County,1025,Alabama
536,2000-01-01,Clarke County,28023,Mississippi
537,2000-01-01,Clarke County,19039,Iowa
538,2000-01-01,Clatsop County,41007,Oregon
539,2000-01-01,Clay County,31035,Nebraska
540,2000-01-01,Clay County,37043,North Carolina
541,2000-01-01,Clay County,54015,West Virginia
542,2000-01-01,Clay County,46027,South Dakota
543,2000-01-01,Clay County,47027,Tennessee
544,2000-01-01,Clay County,48077,Texas
545,2000-01-01,Clay County,13061,Georgia
546,2000-01-01,Clay County,18021,Indiana
547,2000-01-01,Clay County,17025,Illinois
548,2000-01-01,Clay County,5021,Arkansas
549,2000-01-01,Clay County,1027,Alabama
550,2000-01-01,Clay County,12019,Florida
551,2000-01-01,Clay County,27027,Minnesota
552,2000-01-01,Clay County,29047,Missouri
553,2000-01-01,Clay County,28025,Mississippi
554,2000-01-01,Clay County,20027,Kansas
555,2000-01-01,Clay County,19041,Iowa
556,2000-01-01,Clay County,21051,Kentucky
557,2000-01-01,Clayton County,13063,Georgia
558,2000-01-01,Clayton County,19043,Iowa
559,2000-01-01,Clear Creek County,8019,Colorado
560,2000-01-01,Clearfield County,42033,Pennsylvania
561,2000-01-01,Clearwater County,16035,Idaho
562,2000-01-01,Clearwater County,27029,Minnesota
563,2000-01-01,Cleburne County,5023,Arkansas
564,2000-01-01,Cleburne County,1029,Alabama
565,2000-01-01,Clermont County,39025,Ohio
566,2000-01-01,Cleveland County,40027,Oklahoma
567,2000-01-01,Cleveland County,37045,North Carolina
568,2000-01-01,Cleveland County,5025,Arkansas
569,2000-01-01,Clinch County,13065,Georgia
570,2000-01-01,Clinton County,39027,Ohio
571,2000-01-01,Clinton County,42035,Pennsylvania
572,2000-01-01,Clinton County,36019,New York
573,2000-01-01,Clinton County,18023,Indiana
574,2000-01-01,Clinton County,17027,Illinois
575,2000-01-01,Clinton County,26037,Michigan
576,2000-01-01,Clinton County,29049,Missouri
577,2000-01-01,Clinton County,19045,Iowa
578,2000-01-01,Clinton County,21053,Kentucky
579,2000-01-01,Cloud County,20029,Kansas
580,2000-01-01,Coahoma County,28027,Mississippi
581,2000-01-01,Coal County,40029,Oklahoma
582,2000-01-01,Cobb County,13067,Georgia
583,2000-01-01,Cochise County,4003,Arizona
584,2000-01-01,Cochran County,48079,Texas
585,2000-01-01,Cocke County,47029,Tennessee
586,2000-01-01,Coconino County,4005,Arizona
587,2000-01-01,Codington County,46029,South Dakota
588,2000-01-01,Coffee County,47031,Tennessee
589,2000-01-01,Coffee County,13069,Georgia
590,2000-01-01,Coffee County,1031,Alabama
591,2000-01-01,Coffey County,20031,Kansas
