,Time,Name,Maternal mortality ratio (%)
457,2000-01-01,Panama,0.087
458,2000-01-01,Argentina,0.058
459,2000-01-01,Papua New Guinea,0.277
460,2000-01-01,New Zealand,0.014
461,2000-01-01,Samoa,0.077
462,2000-01-01,Libya,0.011
463,2000-01-01,Lesotho,0.746
464,2000-01-01,El Salvador,0.068
465,2000-01-01,Equatorial Guinea,0.483
466,2000-01-01,Eritrea,0.619
467,2000-01-01,Estonia,0.015
468,2000-01-01,Ethiopia,0.743
469,2000-01-01,Israel,0.007
470,2000-01-01,Ireland,0.008
471,2000-01-01,Egypt,0.052
472,2000-01-01,Fiji,0.039
473,2000-01-01,France,0.01
474,2000-01-01,Japan,0.007
475,2000-01-01,Gabon,0.37
476,2000-01-01,Gambia,0.807
477,2000-01-01,Georgia,0.037
478,2000-01-01,Ghana,0.376
479,2000-01-01,Iraq,0.054
480,2000-01-01,Finland,0.004
481,2000-01-01,Ecuador,0.074
482,2000-01-01,Eastern Asia,0.048
483,2000-01-01,Central African Republic,1.058
484,2000-01-01,Comoros,0.436
485,2000-01-01,Congo,0.596
486,2000-01-01,Jamaica,0.092
487,2000-01-01,Costa Rica,0.031
488,2000-01-01,Croatia,0.011
489,2000-01-01,Cuba,0.041
490,2000-01-01,Chile,0.027
491,2000-01-01,Cyprus,0.012
492,2000-01-01,Czechia,0.006
493,2000-01-01,Chad,1.168
494,2000-01-01,Côte d'Ivoire,0.742
495,2000-01-01,Dem. People's Rep. Korea,0.105
496,2000-01-01,Dem. Rep. of the Congo,0.787
497,2000-01-01,Denmark,0.008
498,2000-01-01,Djibouti,0.341
499,2000-01-01,Italy,0.004
500,2000-01-01,Dominican Republic,0.064
501,2000-01-01,Greece,0.003
502,2000-01-01,Liberia,1.02
503,2000-01-01,Iran (Islamic Republic of),0.034
504,2000-01-01,Canada,0.009
505,2000-01-01,Italy,0.004
506,2000-01-01,Jamaica,0.092
507,2000-01-01,Japan,0.007
508,2000-01-01,Jordan,0.062
509,2000-01-01,Bulgaria,0.015
510,2000-01-01,Brunei Darussalam,0.03
511,2000-01-01,Kazakhstan,0.044
512,2000-01-01,Burkina Faso,0.468
513,2000-01-01,Kenya,0.728
514,2000-01-01,Kuwait,0.006
515,2000-01-01,Kyrgyzstan,0.085
516,2000-01-01,Lao People's Dem. Rep.,0.418
517,2000-01-01,Latin America & the Caribbean,0.088
518,2000-01-01,Jordan,0.062
519,2000-01-01,Latvia,0.022
520,2000-01-01,Lebanon,0.027
521,2000-01-01,Kiribati,0.135
522,2000-01-01,Burundi,0.863
523,2000-01-01,Israel,0.007
524,2000-01-01,India,0.28
525,2000-01-01,Guatemala,0.12
526,2000-01-01,Guinea,0.831
527,2000-01-01,Guinea-Bissau,0.714
528,2000-01-01,Guyana,0.232
529,2000-01-01,Haiti,0.459
530,2000-01-01,Indonesia,0.212
531,2000-01-01,Honduras,0.15
532,2000-01-01,Hungary,0.014
533,2000-01-01,Cameroon,0.729
534,2000-01-01,Cambodia,0.315
535,2000-01-01,Iceland,0.004
536,2000-01-01,India,0.28
537,2000-01-01,Indonesia,0.212
538,2000-01-01,Iran (Islamic Republic of),0.034
539,2000-01-01,Iraq,0.054
540,2000-01-01,Cabo Verde,0.054
541,2000-01-01,Ireland,0.008
542,2000-01-01,Grenada,0.025
543,2000-01-01,Greece,0.003
544,2000-01-01,China,0.048
545,2000-01-01,Saudi Arabia,0.018
546,2000-01-01,Azerbaijan,0.034
547,2000-01-01,Bahamas,0.074
548,2000-01-01,Bahrain,0.02
549,2000-01-01,Bangladesh,0.319
550,2000-01-01,Barbados,0.04
551,2000-01-01,Belarus,0.013
552,2000-01-01,Belgium,0.008
553,2000-01-01,Austria,0.005
554,2000-01-01,Belize,0.052
555,2000-01-01,Finland,0.004
556,2000-01-01,Bhutan,0.308
557,2000-01-01,Bolivia (Plurin. State of),0.305
558,2000-01-01,Fiji,0.039
559,2000-01-01,Bosnia and Herzegovina,0.014
560,2000-01-01,Botswana,0.276
561,2000-01-01,Brazil,0.067
562,2000-01-01,Benin,0.502
563,2000-01-01,Lebanon,0.027
564,2000-01-01,Argentina,0.058
565,2000-01-01,Armenia,0.04
566,2000-01-01,Bangladesh,0.319
567,2000-01-01,Yemen,0.428
568,2000-01-01,Zambia,0.372
569,2000-01-01,Bahrain,0.02
570,2000-01-01,Zimbabwe,0.629
571,2000-01-01,Afghanistan,0.821
572,2000-01-01,Bahamas,0.074
573,2000-01-01,Australia,0.007
574,2000-01-01,Albania,0.03
575,2000-01-01,Sao Tome and Principe,0.181
576,2000-01-01,Austria,0.005
577,2000-01-01,Angola,0.705
578,2000-01-01,France,0.01
579,2000-01-01,Argentina,0.058
580,2000-01-01,Armenia,0.04
581,2000-01-01,Australia,0.007
582,2000-01-01,Algeria,0.148
583,2000-01-01,Barbados,0.04
584,2000-01-01,Brunei Darussalam,0.03
585,2000-01-01,Burkina Faso,0.468
586,2000-01-01,Costa Rica,0.031
587,2000-01-01,Croatia,0.011
588,2000-01-01,Cuba,0.041
589,2000-01-01,Afghanistan,0.821
590,2000-01-01,Cyprus,0.012
591,2000-01-01,Afghanistan,0.821
592,2000-01-01,Czechia,0.006
593,2000-01-01,Estonia,0.015
594,2000-01-01,Côte d'Ivoire,0.742
595,2000-01-01,Dem. Rep. of the Congo,0.787
596,2000-01-01,Denmark,0.008
597,2000-01-01,Afghanistan,0.821
598,2000-01-01,Djibouti,0.341
599,2000-01-01,Eritrea,0.619
600,2000-01-01,Dominican Republic,0.064
601,2000-01-01,Eastern Asia,0.048
602,2000-01-01,Dem. People's Rep. Korea,0.105
603,2000-01-01,Bulgaria,0.015
604,2000-01-01,Congo,0.596
605,2000-01-01,Afghanistan,0.821
606,2000-01-01,Burundi,0.863
607,2000-01-01,Cabo Verde,0.054
608,2000-01-01,Cambodia,0.315
609,2000-01-01,Cameroon,0.729
610,2000-01-01,Canada,0.009
611,2000-01-01,Ethiopia,0.743
612,2000-01-01,Central African Republic,1.058
613,2000-01-01,Comoros,0.436
614,2000-01-01,Angola,0.705
615,2000-01-01,Chad,1.168
616,2000-01-01,Liberia,1.02
617,2000-01-01,Algeria,0.148
618,2000-01-01,Chile,0.027
619,2000-01-01,China,0.048
620,2000-01-01,Albania,0.03
621,2000-01-01,Colombia,0.08
622,2000-01-01,Lesotho,0.746
623,2000-01-01,Western Asia,0.11
624,2000-01-01,Azerbaijan,0.034
625,2000-01-01,Belgium,0.008
626,2000-01-01,Belarus,0.013
627,2000-01-01,Albania,0.03
628,2000-01-01,Suriname,0.223
629,2000-01-01,Swaziland,0.595
630,2000-01-01,Sweden,0.005
