,Time,Name,Fertility rate
393,2000-01-01,Myanmar,2.9
394,2000-01-01,Namibia,3.8
395,2000-01-01,Bangladesh,2.9
396,2000-01-01,Guyana,2.9
397,2000-01-01,Nepal,3.6
398,2000-01-01,Haiti,4.0
399,2000-01-01,Belize,3.4
400,2000-01-01,Benin,5.8
401,2000-01-01,Kenya,5.0
402,2000-01-01,Lithuania,1.3
403,2000-01-01,Luxembourg,1.7
404,2000-01-01,Madagascar,5.3
405,2000-01-01,Malawi,6.0
406,2000-01-01,Brazil,2.1
407,2000-01-01,Malaysia,2.5
408,2000-01-01,Maldives,2.6
409,2000-01-01,Mali,6.9
410,2000-01-01,Botswana,3.2
411,2000-01-01,Malta,1.5
412,2000-01-01,Hungary,1.3
413,2000-01-01,Bosnia and Herzegovina,1.3
414,2000-01-01,Kazakhstan,2.0
415,2000-01-01,Bolivia (Plurin. State of),3.8
416,2000-01-01,Mauritania,5.3
417,2000-01-01,Mauritius,1.9
418,2000-01-01,Bhutan,3.1
419,2000-01-01,Netherlands,1.7
420,2000-01-01,Iceland,2.0
421,2000-01-01,Bahrain,2.7
422,2000-01-01,Nicaragua,2.8
423,2000-01-01,Poland,1.3
424,2000-01-01,Angola,6.6
425,2000-01-01,Portugal,1.5
426,2000-01-01,Puerto Rico,1.9
427,2000-01-01,Qatar,3.0
428,2000-01-01,Republic of Korea,1.2
429,2000-01-01,Kuwait,2.6
430,2000-01-01,Kiribati,4.0
431,2000-01-01,Republic of Moldova,1.2
432,2000-01-01,Colombia,2.3
433,2000-01-01,Rwanda,5.4
434,2000-01-01,Kyrgyzstan,2.5
435,2000-01-01,Algeria,2.4
436,2000-01-01,Saint Lucia,1.9
437,2000-01-01,Grenada,2.4
438,2000-01-01,Saint Vincent & Grenadines,2.2
439,2000-01-01,Romania,1.3
440,2000-01-01,Philippines,3.7
441,2000-01-01,Peru,2.8
442,2000-01-01,Paraguay,3.2
443,2000-01-01,Niger,7.7
444,2000-01-01,Nigeria,6.1
445,2000-01-01,Guinea-Bissau,5.6
446,2000-01-01,Northern Africa,3.2
447,2000-01-01,Bahamas,1.9
448,2000-01-01,Azerbaijan,1.9
449,2000-01-01,Guinea,5.9
450,2000-01-01,Austria,1.4
451,2000-01-01,Norway,1.8
452,2000-01-01,Australia,1.8
453,2000-01-01,Oman,3.2
454,2000-01-01,Pakistan,4.2
455,2000-01-01,Armenia,1.7
456,2000-01-01,Guatemala,4.3
457,2000-01-01,Panama,2.7
458,2000-01-01,Argentina,2.5
459,2000-01-01,Papua New Guinea,4.4
460,2000-01-01,New Zealand,1.9
461,2000-01-01,Samoa,4.4
462,2000-01-01,Libya,2.6
463,2000-01-01,Lesotho,3.8
464,2000-01-01,El Salvador,2.7
465,2000-01-01,Equatorial Guinea,5.7
466,2000-01-01,Eritrea,5.1
467,2000-01-01,Estonia,1.4
468,2000-01-01,Ethiopia,6.1
469,2000-01-01,Israel,2.9
470,2000-01-01,Ireland,2.0
471,2000-01-01,Egypt,3.2
472,2000-01-01,Fiji,3.0
473,2000-01-01,France,1.9
474,2000-01-01,Japan,1.3
475,2000-01-01,Gabon,4.4
476,2000-01-01,Gambia,5.9
477,2000-01-01,Georgia,1.6
478,2000-01-01,Ghana,4.6
479,2000-01-01,Iraq,4.7
480,2000-01-01,Finland,1.8
481,2000-01-01,Ecuador,2.9
482,2000-01-01,Eastern Asia,1.5
483,2000-01-01,Central African Republic,5.5
484,2000-01-01,Comoros,5.2
485,2000-01-01,Congo,5.1
486,2000-01-01,Jamaica,2.5
487,2000-01-01,Costa Rica,2.2
488,2000-01-01,Croatia,1.4
489,2000-01-01,Cuba,1.6
490,2000-01-01,Chile,2.0
491,2000-01-01,Cyprus,1.6
492,2000-01-01,Czechia,1.2
493,2000-01-01,Chad,7.2
494,2000-01-01,Côte d'Ivoire,5.7
495,2000-01-01,Dem. People's Rep. Korea,2.0
496,2000-01-01,Dem. Rep. of the Congo,6.7
497,2000-01-01,Denmark,1.8
498,2000-01-01,Djibouti,4.2
499,2000-01-01,Italy,1.3
500,2000-01-01,Dominican Republic,2.8
501,2000-01-01,Greece,1.3
502,2000-01-01,Liberia,5.7
503,2000-01-01,Iran (Islamic Republic of),2.0
504,2000-01-01,Canada,1.5
505,2000-01-01,Italy,1.3
506,2000-01-01,Jamaica,2.5
507,2000-01-01,Japan,1.3
508,2000-01-01,Jordan,3.9
509,2000-01-01,Bulgaria,1.2
510,2000-01-01,Brunei Darussalam,2.0
511,2000-01-01,Kazakhstan,2.0
512,2000-01-01,Burkina Faso,6.4
513,2000-01-01,Kenya,5.0
514,2000-01-01,Kuwait,2.6
515,2000-01-01,Kyrgyzstan,2.5
516,2000-01-01,Lao People's Dem. Rep.,3.9
517,2000-01-01,Latin America & the Caribbean,2.5
518,2000-01-01,Jordan,3.9
519,2000-01-01,Latvia,1.3
520,2000-01-01,Lebanon,2.0
521,2000-01-01,Kiribati,4.0
522,2000-01-01,Burundi,6.9
523,2000-01-01,Israel,2.9
524,2000-01-01,India,3.1
525,2000-01-01,Guatemala,4.3
526,2000-01-01,Guinea,5.9
527,2000-01-01,Guinea-Bissau,5.6
528,2000-01-01,Guyana,2.9
529,2000-01-01,Haiti,4.0
530,2000-01-01,Indonesia,2.5
531,2000-01-01,Honduras,3.8
532,2000-01-01,Hungary,1.3
533,2000-01-01,Cameroon,5.5
534,2000-01-01,Cambodia,3.4
535,2000-01-01,Iceland,2.0
536,2000-01-01,India,3.1
537,2000-01-01,Indonesia,2.5
538,2000-01-01,Iran (Islamic Republic of),2.0
539,2000-01-01,Iraq,4.7
540,2000-01-01,Cabo Verde,3.4
541,2000-01-01,Ireland,2.0
542,2000-01-01,Grenada,2.4
543,2000-01-01,Greece,1.3
544,2000-01-01,China,1.6
545,2000-01-01,Saudi Arabia,3.7
546,2000-01-01,Azerbaijan,1.9
547,2000-01-01,Bahamas,1.9
548,2000-01-01,Bahrain,2.7
549,2000-01-01,Bangladesh,2.9
550,2000-01-01,Barbados,1.8
551,2000-01-01,Belarus,1.3
552,2000-01-01,Belgium,1.7
553,2000-01-01,Austria,1.4
554,2000-01-01,Belize,3.4
555,2000-01-01,Finland,1.8
556,2000-01-01,Bhutan,3.1
557,2000-01-01,Bolivia (Plurin. State of),3.8
558,2000-01-01,Fiji,3.0
559,2000-01-01,Bosnia and Herzegovina,1.3
560,2000-01-01,Botswana,3.2
561,2000-01-01,Brazil,2.1
562,2000-01-01,Benin,5.8
563,2000-01-01,Lebanon,2.0
564,2000-01-01,Argentina,2.5
565,2000-01-01,Armenia,1.7
566,2000-01-01,Bangladesh,2.9
567,2000-01-01,Yemen,5.9
568,2000-01-01,Zambia,6.0
569,2000-01-01,Bahrain,2.7
570,2000-01-01,Zimbabwe,4.0
571,2000-01-01,Afghanistan,7.2
572,2000-01-01,Bahamas,1.9
573,2000-01-01,Australia,1.8
574,2000-01-01,Albania,1.9
575,2000-01-01,Sao Tome and Principe,5.1
576,2000-01-01,Austria,1.4
577,2000-01-01,Angola,6.6
578,2000-01-01,France,1.9
579,2000-01-01,Argentina,2.5
580,2000-01-01,Armenia,1.7
581,2000-01-01,Australia,1.8
582,2000-01-01,Algeria,2.4
583,2000-01-01,Barbados,1.8
584,2000-01-01,Brunei Darussalam,2.0
585,2000-01-01,Burkina Faso,6.4
586,2000-01-01,Costa Rica,2.2
587,2000-01-01,Croatia,1.4
588,2000-01-01,Cuba,1.6
589,2000-01-01,Afghanistan,7.2
590,2000-01-01,Cyprus,1.6
591,2000-01-01,Afghanistan,7.2
592,2000-01-01,Czechia,1.2
593,2000-01-01,Estonia,1.4
594,2000-01-01,Côte d'Ivoire,5.7
595,2000-01-01,Dem. Rep. of the Congo,6.7
596,2000-01-01,Denmark,1.8
597,2000-01-01,Afghanistan,7.2
598,2000-01-01,Djibouti,4.2
599,2000-01-01,Eritrea,5.1
600,2000-01-01,Dominican Republic,2.8
601,2000-01-01,Eastern Asia,1.5
602,2000-01-01,Dem. People's Rep. Korea,2.0
603,2000-01-01,Bulgaria,1.2
604,2000-01-01,Congo,5.1
605,2000-01-01,Afghanistan,7.2
606,2000-01-01,Burundi,6.9
607,2000-01-01,Cabo Verde,3.4
608,2000-01-01,Cambodia,3.4
609,2000-01-01,Cameroon,5.5
610,2000-01-01,Canada,1.5
611,2000-01-01,Ethiopia,6.1
612,2000-01-01,Central African Republic,5.5
613,2000-01-01,Comoros,5.2
614,2000-01-01,Angola,6.6
615,2000-01-01,Chad,7.2
616,2000-01-01,Liberia,5.7
617,2000-01-01,Algeria,2.4
618,2000-01-01,Chile,2.0
619,2000-01-01,China,1.6
620,2000-01-01,Albania,1.9
621,2000-01-01,Colombia,2.3
622,2000-01-01,Lesotho,3.8
623,2000-01-01,Western Asia,3.2
624,2000-01-01,Azerbaijan,1.9
625,2000-01-01,Belgium,1.7
626,2000-01-01,Belarus,1.3
627,2000-01-01,Albania,1.9
628,2000-01-01,Suriname,2.8
629,2000-01-01,Swaziland,4.0
630,2000-01-01,Sweden,1.7
631,2000-01-01,Lao People's Dem. Rep.,3.9
632,2000-01-01,Slovenia,1.2
633,2000-01-01,Switzerland,1.4
634,2000-01-01,TFYR of Macedonia,1.6
635,2000-01-01,Tajikistan,3.6
636,2000-01-01,Thailand,1.6
637,2000-01-01,Timor-Leste,7.0
638,2000-01-01,Afghanistan,7.2
639,2000-01-01,Brazil,2.1
640,2000-01-01,Syrian Arab Republic,3.8
641,2000-01-01,Ghana,4.6
642,2000-01-01,Brunei Darussalam,2.0
643,2000-01-01,Sudan,5.3
644,2000-01-01,Cameroon,5.5
645,2000-01-01,Cambodia,3.4
646,2000-01-01,South Sudan,6.0
647,2000-01-01,Southern Asia,3.2
648,2000-01-01,South Africa,2.8
649,2000-01-01,Cabo Verde,3.4
