,Time,Name,Population growth (%),Life expectancy (years)
323,2000-01-01,Denmark,0.3,77.3
324,2000-01-01,Djibouti,1.8,57.3
325,2000-01-01,Central African Republic,1.9,43.7
326,2000-01-01,Dominican Republic,1.5,71.1
327,2000-01-01,Eastern Asia,0.6,74.2
328,2000-01-01,Ecuador,1.7,73.6
329,2000-01-01,Egypt,1.9,69.0
330,2000-01-01,Côte d'Ivoire,1.9,46.7
331,2000-01-01,El Salvador,0.5,69.6
332,2000-01-01,Iceland,1.0,80.7
333,2000-01-01,Indonesia,1.4,66.7
334,2000-01-01,Madagascar,3.0,60.0
335,2000-01-01,Malawi,2.7,47.3
336,2000-01-01,Malaysia,2.0,73.2
337,2000-01-01,Maldives,2.6,72.1
338,2000-01-01,Mali,3.1,50.0
339,2000-01-01,Malta,0.5,78.5
340,2000-01-01,Bulgaria,-0.8,72.2
341,2000-01-01,Mauritania,2.9,60.3
342,2000-01-01,Mauritius,0.6,72.1
343,2000-01-01,Luxembourg,1.0,78.3
344,2000-01-01,Mexico,1.3,74.9
345,2000-01-01,Brunei Darussalam,1.8,75.7
346,2000-01-01,Mongolia,1.0,64.1
347,2000-01-01,Montenegro,0.1,73.4
348,2000-01-01,Brazil,1.3,71.1
349,2000-01-01,Morocco,1.1,70.0
350,2000-01-01,Mozambique,2.9,49.6
351,2000-01-01,Myanmar,1.0,62.9
352,2000-01-01,Namibia,1.4,53.8
353,2000-01-01,Botswana,1.4,49.2
354,2000-01-01,Micronesia (Fed. States of),-0.2,67.6
355,2000-01-01,India,1.7,63.5
356,2000-01-01,Lithuania,-0.9,71.6
357,2000-01-01,Libya,1.6,70.8
358,2000-01-01,Iran (Islamic Republic of),1.3,71.1
359,2000-01-01,Iraq,2.7,68.9
360,2000-01-01,Ireland,1.8,77.8
361,2000-01-01,Burundi,3.0,52.0
362,2000-01-01,Israel,1.9,79.6
363,2000-01-01,Italy,0.5,80.3
364,2000-01-01,Jamaica,0.7,72.8
365,2000-01-01,Japan,0.1,81.8
366,2000-01-01,Jordan,2.3,72.2
367,2000-01-01,Burkina Faso,2.9,51.6
368,2000-01-01,Kazakhstan,0.6,64.6
369,2000-01-01,Kiribati,1.8,64.5
370,2000-01-01,Kuwait,2.1,73.3
371,2000-01-01,Kyrgyzstan,0.6,66.9
372,2000-01-01,Lao People's Dem. Rep.,1.5,60.3
373,2000-01-01,Latin America & the Caribbean,1.3,72.1
374,2000-01-01,Latvia,-1.1,70.8
375,2000-01-01,Lebanon,4.2,75.6
376,2000-01-01,Lesotho,0.8,45.6
377,2000-01-01,Liberia,2.5,52.4
378,2000-01-01,Kenya,2.7,52.7
379,2000-01-01,Egypt,1.9,69.0
380,2000-01-01,Jamaica,0.7,72.8
381,2000-01-01,Russian Federation,-0.4,64.9
382,2000-01-01,Belgium,0.5,78.4
383,2000-01-01,Mexico,1.3,74.9
384,2000-01-01,Belarus,-0.6,67.8
385,2000-01-01,Micronesia (Fed. States of),-0.2,67.6
386,2000-01-01,Barbados,0.3,73.8
387,2000-01-01,Honduras,2.4,71.0
388,2000-01-01,Mongolia,1.0,64.1
389,2000-01-01,Ecuador,1.7,73.6
390,2000-01-01,Montenegro,0.1,73.4
391,2000-01-01,Morocco,1.1,70.0
392,2000-01-01,Mozambique,2.9,49.6
393,2000-01-01,Myanmar,1.0,62.9
394,2000-01-01,Namibia,1.4,53.8
395,2000-01-01,Bangladesh,1.7,66.7
396,2000-01-01,Guyana,-0.1,65.3
