,Time,Name,Population growth (%)
460,2000-01-01,New Zealand,1.4
461,2000-01-01,Samoa,0.6
462,2000-01-01,Libya,1.6
463,2000-01-01,Lesotho,0.8
464,2000-01-01,El Salvador,0.5
465,2000-01-01,Equatorial Guinea,4.2
466,2000-01-01,Eritrea,3.1
467,2000-01-01,Estonia,-0.6
468,2000-01-01,Ethiopia,2.9
469,2000-01-01,Israel,1.9
470,2000-01-01,Ireland,1.8
471,2000-01-01,Egypt,1.9
472,2000-01-01,Fiji,0.3
473,2000-01-01,France,0.5
474,2000-01-01,Japan,0.1
475,2000-01-01,Gabon,2.6
476,2000-01-01,Gambia,3.2
477,2000-01-01,Georgia,-1.0
478,2000-01-01,Ghana,2.6
479,2000-01-01,Iraq,2.7
480,2000-01-01,Finland,0.3
481,2000-01-01,Ecuador,1.7
482,2000-01-01,Eastern Asia,0.6
483,2000-01-01,Central African Republic,1.9
484,2000-01-01,Comoros,2.4
485,2000-01-01,Congo,2.8
486,2000-01-01,Jamaica,0.7
487,2000-01-01,Costa Rica,1.6
488,2000-01-01,Croatia,-0.2
489,2000-01-01,Cuba,0.2
490,2000-01-01,Chile,1.1
491,2000-01-01,Cyprus,1.7
492,2000-01-01,Czechia,-0.1
493,2000-01-01,Chad,3.8
494,2000-01-01,Côte d'Ivoire,1.9
495,2000-01-01,Dem. People's Rep. Korea,0.8
496,2000-01-01,Dem. Rep. of the Congo,3.0
497,2000-01-01,Denmark,0.3
498,2000-01-01,Djibouti,1.8
499,2000-01-01,Italy,0.5
500,2000-01-01,Dominican Republic,1.5
501,2000-01-01,Greece,0.3
502,2000-01-01,Liberia,2.5
503,2000-01-01,Iran (Islamic Republic of),1.3
504,2000-01-01,Canada,1.0
505,2000-01-01,Italy,0.5
506,2000-01-01,Jamaica,0.7
507,2000-01-01,Japan,0.1
508,2000-01-01,Jordan,2.3
509,2000-01-01,Bulgaria,-0.8
510,2000-01-01,Brunei Darussalam,1.8
511,2000-01-01,Kazakhstan,0.6
512,2000-01-01,Burkina Faso,2.9
513,2000-01-01,Kenya,2.7
514,2000-01-01,Kuwait,2.1
515,2000-01-01,Kyrgyzstan,0.6
516,2000-01-01,Lao People's Dem. Rep.,1.5
517,2000-01-01,Latin America & the Caribbean,1.3
518,2000-01-01,Jordan,2.3
519,2000-01-01,Latvia,-1.1
520,2000-01-01,Lebanon,4.2
521,2000-01-01,Kiribati,1.8
522,2000-01-01,Burundi,3.0
523,2000-01-01,Israel,1.9
524,2000-01-01,India,1.7
525,2000-01-01,Guatemala,2.3
526,2000-01-01,Guinea,1.9
527,2000-01-01,Guinea-Bissau,2.1
528,2000-01-01,Guyana,-0.1
529,2000-01-01,Haiti,1.6
530,2000-01-01,Indonesia,1.4
531,2000-01-01,Honduras,2.4
532,2000-01-01,Hungary,-0.3
533,2000-01-01,Cameroon,2.6
534,2000-01-01,Cambodia,1.8
535,2000-01-01,Iceland,1.0
536,2000-01-01,India,1.7
537,2000-01-01,Indonesia,1.4
538,2000-01-01,Iran (Islamic Republic of),1.3
539,2000-01-01,Iraq,2.7
540,2000-01-01,Cabo Verde,1.7
541,2000-01-01,Ireland,1.8
542,2000-01-01,Grenada,0.3
543,2000-01-01,Greece,0.3
544,2000-01-01,China,0.6
545,2000-01-01,Saudi Arabia,2.8
546,2000-01-01,Azerbaijan,1.0
547,2000-01-01,Bahamas,2.0
548,2000-01-01,Bahrain,5.8
549,2000-01-01,Bangladesh,1.7
550,2000-01-01,Barbados,0.3
551,2000-01-01,Belarus,-0.6
552,2000-01-01,Belgium,0.5
553,2000-01-01,Austria,0.5
554,2000-01-01,Belize,2.7
555,2000-01-01,Finland,0.3
556,2000-01-01,Bhutan,2.7
557,2000-01-01,Bolivia (Plurin. State of),1.8
558,2000-01-01,Fiji,0.3
559,2000-01-01,Bosnia and Herzegovina,0.1
560,2000-01-01,Botswana,1.4
561,2000-01-01,Brazil,1.3
562,2000-01-01,Benin,3.0
563,2000-01-01,Lebanon,4.2
564,2000-01-01,Argentina,1.1
565,2000-01-01,Armenia,-0.6
566,2000-01-01,Bangladesh,1.7
567,2000-01-01,Yemen,2.8
568,2000-01-01,Zambia,2.7
569,2000-01-01,Bahrain,5.8
570,2000-01-01,Zimbabwe,1.1
571,2000-01-01,Afghanistan,4.4
572,2000-01-01,Bahamas,2.0
573,2000-01-01,Australia,1.2
574,2000-01-01,Albania,-0.3
575,2000-01-01,Sao Tome and Principe,2.3
576,2000-01-01,Austria,0.5
577,2000-01-01,Angola,3.5
578,2000-01-01,France,0.5
579,2000-01-01,Argentina,1.1
580,2000-01-01,Armenia,-0.6
581,2000-01-01,Australia,1.2
582,2000-01-01,Algeria,1.3
583,2000-01-01,Barbados,0.3
584,2000-01-01,Brunei Darussalam,1.8
585,2000-01-01,Burkina Faso,2.9
586,2000-01-01,Costa Rica,1.6
587,2000-01-01,Croatia,-0.2
588,2000-01-01,Cuba,0.2
589,2000-01-01,Afghanistan,4.4
590,2000-01-01,Cyprus,1.7
591,2000-01-01,Afghanistan,4.4
592,2000-01-01,Czechia,-0.1
593,2000-01-01,Estonia,-0.6
594,2000-01-01,Côte d'Ivoire,1.9
595,2000-01-01,Dem. Rep. of the Congo,3.0
596,2000-01-01,Denmark,0.3
597,2000-01-01,Afghanistan,4.4
598,2000-01-01,Djibouti,1.8
599,2000-01-01,Eritrea,3.1
600,2000-01-01,Dominican Republic,1.5
601,2000-01-01,Eastern Asia,0.6
602,2000-01-01,Dem. People's Rep. Korea,0.8
603,2000-01-01,Bulgaria,-0.8
604,2000-01-01,Congo,2.8
605,2000-01-01,Afghanistan,4.4
606,2000-01-01,Burundi,3.0
607,2000-01-01,Cabo Verde,1.7
608,2000-01-01,Cambodia,1.8
609,2000-01-01,Cameroon,2.6
610,2000-01-01,Canada,1.0
611,2000-01-01,Ethiopia,2.9
612,2000-01-01,Central African Republic,1.9
613,2000-01-01,Comoros,2.4
614,2000-01-01,Angola,3.5
615,2000-01-01,Chad,3.8
616,2000-01-01,Liberia,2.5
617,2000-01-01,Algeria,1.3
618,2000-01-01,Chile,1.1
619,2000-01-01,China,0.6
620,2000-01-01,Albania,-0.3
621,2000-01-01,Colombia,1.4
622,2000-01-01,Lesotho,0.8
623,2000-01-01,Western Asia,2.1
624,2000-01-01,Azerbaijan,1.0
625,2000-01-01,Belgium,0.5
626,2000-01-01,Belarus,-0.6
627,2000-01-01,Albania,-0.3
628,2000-01-01,Suriname,1.1
629,2000-01-01,Swaziland,0.8
630,2000-01-01,Sweden,0.4
631,2000-01-01,Lao People's Dem. Rep.,1.5
632,2000-01-01,Slovenia,0.1
633,2000-01-01,Switzerland,0.7
634,2000-01-01,TFYR of Macedonia,0.2
635,2000-01-01,Tajikistan,2.0
636,2000-01-01,Thailand,0.8
637,2000-01-01,Timor-Leste,3.3
638,2000-01-01,Afghanistan,4.4
639,2000-01-01,Brazil,1.3
640,2000-01-01,Syrian Arab Republic,2.2
641,2000-01-01,Ghana,2.6
642,2000-01-01,Brunei Darussalam,1.8
643,2000-01-01,Sudan,2.5
644,2000-01-01,Cameroon,2.6
645,2000-01-01,Cambodia,1.8
646,2000-01-01,South Sudan,3.8
647,2000-01-01,Southern Asia,1.7
648,2000-01-01,South Africa,1.3
649,2000-01-01,Cabo Verde,1.7
650,2000-01-01,Solomon Islands,2.6
651,2000-01-01,Burundi,3.0
652,2000-01-01,Spain,1.5
653,2000-01-01,Bulgaria,-0.8
654,2000-01-01,Somalia,2.9
655,2000-01-01,Sri Lanka,0.8
656,2000-01-01,State of Palestine,2.1
657,2000-01-01,Sub-Saharan Africa,2.7
658,2000-01-01,Burkina Faso,2.9
659,2000-01-01,Botswana,1.4
660,2000-01-01,Togo,2.7
661,2000-01-01,"Total, all countries or areas",1.3
662,2000-01-01,United Kingdom,0.4
663,2000-01-01,United Rep. of Tanzania,2.8
664,2000-01-01,Bolivia (Plurin. State of),1.8
665,2000-01-01,United States of America,0.9
666,2000-01-01,Bhutan,2.7
667,2000-01-01,Uzbekistan,1.3
668,2000-01-01,Tonga,0.6
669,2000-01-01,Senegal,2.6
670,2000-01-01,Latvia,-1.1
671,2000-01-01,Venezuela (Boliv. Rep. of),1.8
672,2000-01-01,Benin,3.0
673,2000-01-01,Viet Nam,1.0
674,2000-01-01,Gabon,2.6
675,2000-01-01,Belize,2.7
676,2000-01-01,Vanuatu,2.5
677,2000-01-01,Serbia,-0.6
678,2000-01-01,South-eastern Asia,1.4
679,2000-01-01,Uganda,3.4
680,2000-01-01,Bosnia and Herzegovina,0.1
681,2000-01-01,Latin America & the Caribbean,1.3
682,2000-01-01,Trinidad and Tobago,0.5
683,2000-01-01,Ukraine,-0.8
684,2000-01-01,Tunisia,0.8
