,Time,Name,State.Name
639,2000-01-01,Coryell County,4584
640,2000-01-01,Coshocton County,4575
641,2000-01-01,Costilla County,4545
642,2000-01-01,Cottle County,4584
643,2000-01-01,Cotton County,4576
644,2000-01-01,Cottonwood County,4563
645,2000-01-01,Covington County,4541
646,2000-01-01,Covington County,4565
647,2000-01-01,Covington city,4586
648,2000-01-01,Coweta County,4550
649,2000-01-01,Cowley County,4556
650,2000-01-01,Cowlitz County,4588
651,2000-01-01,Craig County,4576
652,2000-01-01,Craig County,4586
653,2000-01-01,Craighead County,4542
654,2000-01-01,Crane County,4584
655,2000-01-01,Craven County,4567
656,2000-01-01,Crawford County,4575
657,2000-01-01,Crawford County,4578
658,2000-01-01,Crawford County,4589
659,2000-01-01,Crawford County,4550
660,2000-01-01,Crawford County,4555
661,2000-01-01,Crawford County,4554
662,2000-01-01,Crawford County,4542
663,2000-01-01,Crawford County,4562
664,2000-01-01,Crawford County,4564
665,2000-01-01,Crawford County,4556
666,2000-01-01,Crawford County,4552
667,2000-01-01,Creek County,4576
668,2000-01-01,Crenshaw County,4541
669,2000-01-01,Crisp County,4550
670,2000-01-01,Crittenden County,4542
671,2000-01-01,Crittenden County,4557
672,2000-01-01,Crockett County,4583
673,2000-01-01,Crockett County,4584
674,2000-01-01,Crook County,4577
675,2000-01-01,Crook County,4591
676,2000-01-01,Crosby County,4584
677,2000-01-01,Cross County,4542
678,2000-01-01,Crow Wing County,4563
679,2000-01-01,Crowley County,4545
680,2000-01-01,Culberson County,4584
681,2000-01-01,Cullman County,4541
682,2000-01-01,Culpeper County,4586
683,2000-01-01,Cumberland County,4578
684,2000-01-01,Cumberland County,4567
685,2000-01-01,Cumberland County,4571
686,2000-01-01,Cumberland County,4586
687,2000-01-01,Cumberland County,4583
688,2000-01-01,Cumberland County,4554
689,2000-01-01,Cumberland County,4561
690,2000-01-01,Cumberland County,4557
691,2000-01-01,Cuming County,4569
692,2000-01-01,Currituck County,4567
693,2000-01-01,Curry County,4577
694,2000-01-01,Curry County,4572
695,2000-01-01,Custer County,4576
696,2000-01-01,Custer County,4569
697,2000-01-01,Custer County,4566
698,2000-01-01,Custer County,4582
699,2000-01-01,Custer County,4553
700,2000-01-01,Custer County,4545
701,2000-01-01,Cuyahoga County,4575
702,2000-01-01,Dade County,4550
703,2000-01-01,Dade County,4564
704,2000-01-01,Daggett County,4585
705,2000-01-01,Dakota County,4569
706,2000-01-01,Dakota County,4563
707,2000-01-01,Dale County,4541
708,2000-01-01,Dallam County,4584
709,2000-01-01,Dallas County,4584
710,2000-01-01,Dallas County,4542
711,2000-01-01,Dallas County,4541
712,2000-01-01,Dallas County,4564
713,2000-01-01,Dallas County,4552
714,2000-01-01,Dane County,4589
715,2000-01-01,Daniels County,4566
716,2000-01-01,Danville city,4586
717,2000-01-01,Dare County,4567
718,2000-01-01,Darke County,4575
719,2000-01-01,Darlington County,4581
720,2000-01-01,Dauphin County,4578
721,2000-01-01,Davidson County,4567
722,2000-01-01,Davidson County,4583
723,2000-01-01,Davie County,4567
724,2000-01-01,Daviess County,4555
725,2000-01-01,Daviess County,4564
726,2000-01-01,Daviess County,4557
727,2000-01-01,Davis County,4585
728,2000-01-01,Davis County,4552
729,2000-01-01,Davison County,4582
730,2000-01-01,Dawes County,4569
731,2000-01-01,Dawson County,4569
732,2000-01-01,Dawson County,4566
733,2000-01-01,Dawson County,4584
734,2000-01-01,Dawson County,4550
735,2000-01-01,Day County,4582
736,2000-01-01,De Baca County,4572
737,2000-01-01,De Soto Parish,4558
